line,wells,type
GEDIhttGlutamate4,A10,Htt25
GEDIhttGlutamate4,A11,Htt25
GEDIhttGlutamate4,A12,Htt25
GEDIhttGlutamate4,E10,Htt25
GEDIhttGlutamate4,E11,Htt25
GEDIhttGlutamate4,E12,Htt25
GEDIhttGlutamate4,A1,
,A2,
,A3,
,A4,
,A5,
,A6,
,A7,
,A8,
,A9,
,,
,,
What is the max number per well?,,
Is there a typo in your final Htt97 + glutamate?,,
