,0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,index,plate_well_neuron,disease
70597,0.013768329,0.015010892,,,,,,,0.017659433,0.018497216,0.018634677,0.017902711,0.016778466,0.020627641,,,70598,RGEDIMachineLearning28_A12_11,normal
70598,0.017660227,0.019481265,,,,,,,,,,,,,,,70599,RGEDIMachineLearning28_A12_12,normal
70599,0.012793174,0.015065348,,,,,,,,,,,,,,,70600,RGEDIMachineLearning28_A12_13,normal
70600,0.010238204,,,,,,,,,,,,,,,,70601,RGEDIMachineLearning28_A12_14,normal
70601,0.139153412,,,,,,,,,,,,,,,,70602,RGEDIMachineLearning28_A12_15,normal
70602,0.015803311,0.186473181,,,,,,,,,,,,,,,70603,RGEDIMachineLearning28_A12_16,normal
70603,0.013878668,,,,,,,,,,,,,,,,70604,RGEDIMachineLearning28_A12_17,normal
70604,0.016823876,,,,,,,,,,,,,,,,70605,RGEDIMachineLearning28_A12_18,normal
70605,0.163963558,,,,,,,,,,,,,,,,70606,RGEDIMachineLearning28_A12_19,normal
70606,0.016395361,0.019656497,,,,,,,0.139245662,,,,,,,,70607,RGEDIMachineLearning28_A12_2,normal
70607,0.019547692,,,,,,,,,,,,,,,,70608,RGEDIMachineLearning28_A12_20,normal
70608,0.014696311,,,,,,,,,,,,,,,,70609,RGEDIMachineLearning28_A12_21,normal
70609,0.017044751,0.030741305,,,,,,,0.023056525,0.022227577,0.020885109,,,,,,70610,RGEDIMachineLearning28_A12_22,normal
70610,0.013936793,0.017015696,,,,,,,0.018153723,0.01854187,,,,,,,70611,RGEDIMachineLearning28_A12_3,normal
70611,0.017107927,,,,,,,,,,,,,,,,70612,RGEDIMachineLearning28_A12_4,normal
70612,0.143489523,,,,,,,,,,,,,,,,70613,RGEDIMachineLearning28_A12_5,normal
70613,0.016353644,0.0184162,,,,,,,0.018683957,0.01952539,0.019765404,0.019832193,0.020889056,0.020176698,,,70614,RGEDIMachineLearning28_A12_6,normal
70614,0.092302018,,,,,,,,,,,,,,,,70615,RGEDIMachineLearning28_A12_7,normal
70615,0.015135099,,,,,,,,,,,,,,,,70616,RGEDIMachineLearning28_A12_8,normal
70616,0.021809715,0.023318676,,,,,,,,,,,,,,,70617,RGEDIMachineLearning28_A12_9,normal
70617,0.017535787,0.021212861,,,,,,,0.02310919,0.024700231,0.026320628,0.027160648,0.024516827,0.157395308,,,70618,RGEDIMachineLearning28_A2_1,normal
70618,0.013740308,0.016032232,,,,,,,0.020896538,0.019497655,0.02013635,0.019846326,0.017759914,0.018809004,,,70619,RGEDIMachineLearning28_A2_10,normal
70619,0.015967407,0.016141668,,,,,,,0.02030957,0.022981197,0.016147897,0.009921596,,,,,70620,RGEDIMachineLearning28_A2_11,normal
70620,0.013542317,,,,,,,,,,,,,,,,70621,RGEDIMachineLearning28_A2_12,normal
70621,0.014447744,,,,,,,,,,,,,,,,70622,RGEDIMachineLearning28_A2_13,normal
70622,0.207546834,,,,,,,,,,,,,,,,70623,RGEDIMachineLearning28_A2_14,normal
70623,0.016064136,0.01563824,,,,,,,0.021425752,0.022253558,0.024050766,0.02195594,0.022386241,0.02339628,,,70624,RGEDIMachineLearning28_A2_15,normal
70624,0.016645268,,,,,,,,,,,,,,,,70625,RGEDIMachineLearning28_A2_16,normal
70625,0.015754516,,,,,,,,,,,,,,,,70626,RGEDIMachineLearning28_A2_17,normal
70626,0.017934603,0.017193822,,,,,,,0.018715533,0.018253553,0.017637711,0.016704181,0.119655169,,,,70627,RGEDIMachineLearning28_A2_18,normal
70627,0.015633613,0.017075633,,,,,,,,,,,,,,,70628,RGEDIMachineLearning28_A2_19,normal
70628,0.012997531,,,,,,,,,,,,,,,,70629,RGEDIMachineLearning28_A2_2,normal
70629,0.013029787,0.014840963,,,,,,,0.018901427,0.018644708,0.019315892,0.01892778,0.018499704,0.020190553,,,70630,RGEDIMachineLearning28_A2_3,normal
70630,0.01450024,0.017162989,,,,,,,0.019857175,0.016616186,,,,,,,70631,RGEDIMachineLearning28_A2_4,normal
70631,0.130331894,,,,,,,,,,,,,,,,70632,RGEDIMachineLearning28_A2_5,normal
70632,0.0159244,,,,,,,,,,,,,,,,70633,RGEDIMachineLearning28_A2_6,normal
70633,0.108275922,,,,,,,,,,,,,,,,70634,RGEDIMachineLearning28_A2_7,normal
70634,0.138900205,,,,,,,,,,,,,,,,70635,RGEDIMachineLearning28_A2_8,normal
70635,0.013743302,0.01902762,,,,,,,0.020662068,0.027441216,0.183484336,,,,,,70636,RGEDIMachineLearning28_A2_9,normal
70636,0.013655491,,,,,,,,,,,,,,,,70637,RGEDIMachineLearning28_A3_1,normal
70637,0.013875475,0.013901613,,,,,,,0.01662853,0.019054567,0.019029281,0.019451602,0.020749826,0.017954046,,,70638,RGEDIMachineLearning28_A3_10,normal
70638,0.015378732,0.018530988,,,,,,,0.019174624,,,,,,,,70639,RGEDIMachineLearning28_A3_11,normal
70639,0.012879061,,,,,,,,,,,,,,,,70640,RGEDIMachineLearning28_A3_12,normal
70640,0.01373557,0.016116672,,,,,,,0.017363803,,,,,,,,70641,RGEDIMachineLearning28_A3_13,normal
70641,0.0138029,0.016934282,,,,,,,0.018313204,0.019520714,0.0185352,0.019829159,0.018699872,0.016180296,,,70642,RGEDIMachineLearning28_A3_14,normal
70642,0.011062149,0.015938737,,,,,,,0.090024544,,,,,,,,70643,RGEDIMachineLearning28_A3_15,normal
70643,0.013730602,0.023422108,,,,,,,0.023338706,0.024411854,0.089194873,,,,,,70644,RGEDIMachineLearning28_A3_16,normal
70644,0.015817056,0.261276532,,,,,,,,,,,,,,,70645,RGEDIMachineLearning28_A3_17,normal
70645,0.01448081,0.017494249,,,,,,,0.019310427,,,,,,,,70646,RGEDIMachineLearning28_A3_18,normal
70646,0.015692633,,,,,,,,,,,,,,,,70647,RGEDIMachineLearning28_A3_2,normal
