"","plate_well_neuron","1","2","3","4","5","6","7","8","9","10","11","12","13"
"38","PID20170214_RGEDIMachineLearning22_A1_43",0.182708682136164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","PID20170214_RGEDIMachineLearning22_A1_44",0.0173076478342137,0.0186770189754617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","PID20170214_RGEDIMachineLearning22_A1_45",0.0164489968116819,0.0193681690259458,0.0239327423572817,0.0232607394079474,0.0243092473421568,0.314676211010899,0.232301161303383,NA,NA,NA,NA,NA,NA
"41","PID20170214_RGEDIMachineLearning22_A1_46",0.0164406625090567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","PID20170214_RGEDIMachineLearning22_A1_47",0.0130077954450665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PID20170214_RGEDIMachineLearning22_A1_48",0.0161279387425717,0.0161759910673011,0.0170082129692418,0.0174427312649816,0.0180635987515044,0.0187037937778386,NA,NA,NA,NA,NA,NA,NA
"44","PID20170214_RGEDIMachineLearning22_A1_49",0.157371980943847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","PID20170214_RGEDIMachineLearning22_A1_5",0.0166485636539604,0.0176584173842218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PID20170214_RGEDIMachineLearning22_A1_50",0.0145778479565438,0.0186735278503783,0.0212842990692992,0.019698912273578,0.0213524546984639,0.0195593304680144,0.136399252355898,NA,NA,NA,NA,NA,NA
"47","PID20170214_RGEDIMachineLearning22_A1_51",0.0151875385737298,0.0153868275404062,0.0155098949400521,0.0165047343388638,0.0153424098711913,0.0150950019746334,NA,NA,NA,NA,NA,NA,NA
"48","PID20170214_RGEDIMachineLearning22_A1_52",0.0183059712334887,0.0196941372750942,0.0183018930197442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PID20170214_RGEDIMachineLearning22_A1_53",0.0165443517271912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PID20170214_RGEDIMachineLearning22_A1_54",0.121311523621788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PID20170214_RGEDIMachineLearning22_A1_55",0.0198937970981937,0.0283896312427668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","PID20170214_RGEDIMachineLearning22_A1_56",0.0166440561862205,0.0165958567537361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","PID20170214_RGEDIMachineLearning22_A1_57",0.16553062858967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PID20170214_RGEDIMachineLearning22_A1_58",0.0188584357046515,0.0199964482279885,0.0262957498151846,0.0272500113972537,0.0242025420221135,0.176065772968307,0.15935485556178,NA,NA,NA,NA,NA,NA
"55","PID20170214_RGEDIMachineLearning22_A1_59",0.214831457521369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","PID20170214_RGEDIMachineLearning22_A1_6",0.0182094090925044,0.0227886527917342,0.0231248487431087,0.0240716296234405,0.0202720784303331,0.0197885888649914,NA,NA,NA,NA,NA,NA,NA
"57","PID20170214_RGEDIMachineLearning22_A1_60",0.24185668797387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","PID20170214_RGEDIMachineLearning22_A1_61",0.0232646065433425,0.01946789843745,0.0201623556821332,0.019712801976145,0.0205557899368814,0.0231321819814627,NA,NA,NA,NA,NA,NA,NA
"59","PID20170214_RGEDIMachineLearning22_A1_62",0.12779417481998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","PID20170214_RGEDIMachineLearning22_A1_63",0.0195969972343602,0.0170583327580369,0.0186436887905203,0.0163137983242479,0.0170557442515731,0.0172097635907825,NA,NA,NA,NA,NA,NA,NA
"61","PID20170214_RGEDIMachineLearning22_A1_64",0.0215160569759252,0.022636338646831,0.0189793993466378,0.0168500879199962,0.018267314930207,0.015850096110748,NA,NA,NA,NA,NA,NA,NA
"62","PID20170214_RGEDIMachineLearning22_A1_65",0.017741453844483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PID20170214_RGEDIMachineLearning22_A1_66",0.15332022246285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","PID20170214_RGEDIMachineLearning22_A1_67",0.0235226579824264,0.0778644541407979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
