index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
40,PID20170214_RGEDIMachineLearning22_A1_45,0.016448997,0.019368169,0.023932742,0.023260739,0.024309247,0.314676211,0.232301161,NA,NA,NA,NA,NA,NA,NA,NA
41,PID20170214_RGEDIMachineLearning22_A1_46,0.016440663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,PID20170214_RGEDIMachineLearning22_A1_47,0.013007795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,PID20170214_RGEDIMachineLearning22_A1_48,0.016127939,0.016175991,0.017008213,0.017442731,0.018063599,0.018703794,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,PID20170214_RGEDIMachineLearning22_A1_49,0.157371981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,PID20170214_RGEDIMachineLearning22_A1_5,0.016648564,0.017658417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,PID20170214_RGEDIMachineLearning22_A1_50,0.014577848,0.018673528,0.021284299,0.019698912,0.021352455,0.01955933,0.136399252,NA,NA,NA,NA,NA,NA,NA,NA
47,PID20170214_RGEDIMachineLearning22_A1_51,0.015187539,0.015386828,0.015509895,0.016504734,0.01534241,0.015095002,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,PID20170214_RGEDIMachineLearning22_A1_52,0.018305971,0.019694137,0.018301893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,PID20170214_RGEDIMachineLearning22_A1_53,0.016544352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,PID20170214_RGEDIMachineLearning22_A1_54,0.121311524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,PID20170214_RGEDIMachineLearning22_A1_55,0.019893797,0.028389631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,PID20170214_RGEDIMachineLearning22_A1_56,0.016644056,0.016595857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,PID20170214_RGEDIMachineLearning22_A1_57,0.165530629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,PID20170214_RGEDIMachineLearning22_A1_58,0.018858436,0.019996448,0.02629575,0.027250011,0.024202542,0.176065773,0.159354856,NA,NA,NA,NA,NA,NA,NA,NA
55,PID20170214_RGEDIMachineLearning22_A1_59,0.214831458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,PID20170214_RGEDIMachineLearning22_A1_6,0.018209409,0.022788653,0.023124849,0.02407163,0.020272078,0.019788589,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,PID20170214_RGEDIMachineLearning22_A1_60,0.241856688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,PID20170214_RGEDIMachineLearning22_A1_61,0.023264607,0.019467898,0.020162356,0.019712802,0.02055579,0.023132182,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,PID20170214_RGEDIMachineLearning22_A1_62,0.127794175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,PID20170214_RGEDIMachineLearning22_A1_63,0.019596997,0.017058333,0.018643689,0.016313798,0.017055744,0.017209764,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,PID20170214_RGEDIMachineLearning22_A1_64,0.021516057,0.022636339,0.018979399,0.016850088,0.018267315,0.015850096,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,PID20170214_RGEDIMachineLearning22_A1_65,0.017741454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,PID20170214_RGEDIMachineLearning22_A1_66,0.153320222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,PID20170214_RGEDIMachineLearning22_A1_67,0.023522658,0.077864454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,PID20170214_RGEDIMachineLearning22_A1_68,0.015614667,0.016516872,0.018041601,0.017294434,0.019058641,0.014495081,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,PID20170214_RGEDIMachineLearning22_A1_69,0.017689832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,PID20170214_RGEDIMachineLearning22_A1_7,0.013484214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,PID20170214_RGEDIMachineLearning22_A1_70,0.015214099,0.017072073,0.020968871,0.020372902,0.020964114,0.021360212,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,PID20170214_RGEDIMachineLearning22_A1_71,0.017266713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,PID20170214_RGEDIMachineLearning22_A1_72,0.015440313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
